Tanggal,Jam,DateTime,Coordinates,Lintang,Bujur,Magnitude,Kedalaman,Wilayah,Dirasakan
15 Okt 2023,22:24:44 WIB,2023-10-15T15:24:44+00:00,"-8.20,118.09",8.20 LS,118.09 BT,4.4,15 km,Pusat gempa berada di darat 55 km barat laut Dompu,"III Dompu, III Kab. Bima"
15 Okt 2023,18:41:21 WIB,2023-10-15T11:41:21+00:00,"-8.23,123.02",8.23 LS,123.02 BT,3.4,10 km,Pusat gempa berada di laut 11 km TimurLaut Larantuka,"II - III Larantuka, II - III Adonara, II-III Lembata"
14 Okt 2023,10:49:30 WIB,2023-10-14T03:49:30+00:00,"-4.89,103.97",4.89 LS,103.97 BT,4.0,5 km,Pusat gempa berada di darat 17 km Barat Laut Lampung Barat,"III Liwa, II Pesisir Barat"
13 Okt 2023,21:17:06 WIB,2023-10-13T14:17:06+00:00,"1.05,127.47",1.05 LU,127.47 BT,2.4,10 km,Pusat gempa berada di laut 1 km tenggara Jailolo,II-III Jailolo
12 Okt 2023,16:30:02 WIB,2023-10-12T09:30:02+00:00,"-10.18,120.12",10.18 LS,120.12 BT,5.0,10 km,Pusat gempa berada di darat 17 km Barat Laut Karera - Sumba Timur,III Sumba Timur
12 Okt 2023,06:44:42 WIB,2023-10-11T23:44:42+00:00,"-6.75,106.65",6.75 LS,106.65 BT,3.2,7 km,Pusat gempa berada di darat 23 km barat daya Kota Bogor,II Klapanunggal Bogor
11 Okt 2023,16:05:57 WIB,2023-10-11T09:05:57+00:00,"-3.48,128.39",3.48 LS,128.39 BT,3.4,5 km,Pusat gempa berada di laut 16 km Selatan Kairatu,"II-III Ambon, II-III Kairatu"
11 Okt 2023,11:41:19 WIB,2023-10-11T04:41:19+00:00,"-3.76,133.68",3.76 LS,133.68 BT,3.1,9 km,Pusat gempa berada di laut 15 Km Barat Daya Kaimana,II Kaimana
11 Okt 2023,09:16:13 WIB,2023-10-11T02:16:13+00:00,"-6.84,107.08",6.84 LS,107.08 BT,2.1,22 km,Pusat gempa berada di darat 6 km Barat Daya Cianjur,II Cianjur
10 Okt 2023,23:42:29 WIB,2023-10-10T16:42:29+00:00,"-8.82,112.50",8.82 LS,112.50 BT,4.8,38 km,Pusat gempa berada di laut 76 km BaratDaya Kabupaten Malang,"III Karangkates, II Kepanjen, II Blitar, II Lumajang, II Jember"
09 Okt 2023,10:50:50 WIB,2023-10-09T03:50:50+00:00,"0.41,122.24",0.41 LU,122.24 BT,5.6,101 km,Pusat gempa berada di laut 17 km BaratDaya Boalemo,"II - III Gorontalo, II-III Pohuwato, II-III Kab. Gorontalo, III Kab. Gorontalo Utara, III Bone Bolango, III Bolaang Mongondow Utara, III Toli toli, III Buol, III Boalemo"
08 Okt 2023,13:10:53 WIB,2023-10-08T06:10:53+00:00,"-5.77,122.82",5.77 LS,122.82 BT,3.0,7 km,"Pusat gempa berada di laut 12,9 km Tenggara Lapandewa, Kab. Buton Selatan",III Buton Selatan
07 Okt 2023,17:20:32 WIB,2023-10-07T10:20:32+00:00,"-5.98,103.91",5.98 LS,103.91 BT,4.8,8 km,Pusat gempa berada di laut 88 Km Barat Daya Pesisir Barat,II Bangkunat
06 Okt 2023,13:51:33 WIB,2023-10-06T06:51:33+00:00,"-3.24,128.36",3.24 LS,128.36 BT,3.7,8 km,Pusat gempa berada di darat 11 km utara Kairatu,III Kairatu
06 Okt 2023,12:42:25 WIB,2023-10-06T05:42:25+00:00,"-0.64,127.64",0.64 LS,127.64 BT,2.8,10 km,Pusat gempa berada di darat 15 km Timur Labuha,II-III Bacan Timur
